"","from","to","freq"
"1","ATL","ABE",852
"2","CLE","ABE",805
"3","CLT","ABE",465
"4","CVG","ABE",248
"5","DTW","ABE",997
"6","LNK","ABE",1
"7","MKE","ABE",1
"8","ORD","ABE",1426
"9","CMI","ABI",1
"10","DFW","ABI",2660
"11","AMA","ABQ",366
"12","ATL","ABQ",1064
"13","AUS","ABQ",435
"14","BWI","ABQ",549
"15","CLE","ABQ",12
"16","COS","ABQ",1
"17","CVG","ABQ",260
"18","DAL","ABQ",3106
"19","DEN","ABQ",4309
"20","DFW","ABQ",2888
"21","DRO","ABQ",1
"22","ELP","ABQ",792
"23","EWR","ABQ",166
"24","HOU","ABQ",1023
"25","IAD","ABQ",365
"26","IAH","ABQ",2261
"27","LAS","ABQ",2408
"28","LAX","ABQ",2415
"29","LBB","ABQ",366
"30","MAF","ABQ",366
"31","MCI","ABQ",670
"32","MCO","ABQ",726
"33","MDW","ABQ",730
"34","MSP","ABQ",677
"35","OAK","ABQ",1004
"36","OKC","ABQ",231
"37","OMA","ABQ",1
"38","ONT","ABQ",443
"39","ORD","ABQ",754
"40","PDX","ABQ",366
"41","PHX","ABQ",5234
"42","SAN","ABQ",1054
"43","SAT","ABQ",426
"44","SEA","ABQ",708
"45","SFO","ABQ",529
"46","SLC","ABQ",2293
"47","SMF","ABQ",466
"48","STL","ABQ",366
"49","TPA","ABQ",366
"50","TUL","ABQ",229
"51","TUS","ABQ",718
"52","ATL","ABY",1095
"53","BOS","ACK",1
"54","EWR","ACK",234
"55","JFK","ACK",234
"56","DFW","ACT",1994
"57","CEC","ACV",360
"58","SFO","ACV",2337
"59","SLC","ACV",389
"60","SMF","ACV",616
"61","ATL","ACY",113
"62","ANC","ADK",102
"63","ANC","ADQ",706
"64","ATL","AEX",982
"65","DFW","AEX",1003
"66","IAH","AEX",342
"67","ATL","AGS",2381
"68","CLT","AGS",17
"69","IAH","AGS",1
"70","LGA","AGS",7
"71","ANC","AKN",116
"72","ATL","ALB",1153
"73","BWI","ALB",2296
"74","CLE","ALB",1106
"75","CLT","ALB",978
"76","CVG","ALB",912
"77","DCA","ALB",304
"78","DTW","ALB",1013
"79","EWR","ALB",619
"80","FLL","ALB",60
"81","JFK","ALB",364
"82","LAS","ALB",366
"83","MCO","ALB",1040
"84","MDW","ALB",729
"85","MSP","ALB",57
"86","ORD","ALB",1632
"87","PHL","ALB",448
"88","TPA","ALB",391
"89","MSP","ALO",323
"90","ABQ","AMA",368
"91","DAL","AMA",2665
"92","DEN","AMA",731
"93","DFW","AMA",2551
"94","IAH","AMA",807
"95","LAS","AMA",367
"96","SAT","AMA",1
"97","ADK","ANC",102
"98","ADQ","ANC",706
"99","AKN","ANC",78
"100","ATL","ANC",115
"101","BET","ANC",1035
"102","BRW","ANC",364
"103","CDV","ANC",363
"104","CVG","ANC",90
"105","DEN","ANC",451
"106","DFW","ANC",153
"107","DLG","ANC",116
"108","DTW","ANC",96
"109","FAI","ANC",2853
"110","HNL","ANC",236
"111","IAH","ANC",206
"112","JNU","ANC",1163
"113","LAS","ANC",238
"114","LAX","ANC",239
"115","MSP","ANC",826
"116","OGG","ANC",27
"117","OME","ANC",729
"118","ORD","ANC",561
"119","OTZ","ANC",361
"120","PDX","ANC",576
"121","PHX","ANC",366
"122","SCC","ANC",363
"123","SEA","ANC",6256
"124","SFO","ANC",182
"125","SLC","ANC",478
"126","ATL","ASE",16
"127","DEN","ASE",3979
"128","GJT","ASE",2
"129","LAX","ASE",324
"130","ORD","ASE",310
"131","PHX","ASE",109
"132","SFO","ASE",59
"133","SLC","ASE",443
"134","TUL","ASE",1
"135","ABE","ATL",853
"136","ABQ","ATL",1067
"137","ABY","ATL",1095
"138","ACY","ATL",113
"139","AEX","ATL",983
"140","AGS","ATL",2380
"141","ALB","ATL",1154
"142","ANC","ATL",115
"143","ASE","ATL",16
"144","ATW","ATL",743
"145","AUS","ATL",2252
"146","AVL","ATL",1936
"147","AVP","ATL",586
"148","BDL","ATL",2141
"149","BGR","ATL",270
"150","BHM","ATL",2876
"151","BMI","ATL",2511
"152","BNA","ATL",3097
"153","BOI","ATL",41
"154","BOS","ATL",5982
"155","BQK","ATL",925
"156","BTR","ATL",2663
"157","BTV","ATL",500
"158","BUF","ATL",3575
"159","BWI","ATL",5972
"160","BZN","ATL",60
"161","CAE","ATL",2508
"162","CAK","ATL",3905
"163","CHA","ATL",2086
"164","CHO","ATL",786
"165","CHS","ATL",4494
"166","CID","ATL",357
"167","CLE","ATL",3115
"168","CLT","ATL",6722
"169","CMH","ATL",1808
"170","COS","ATL",591
"171","CRP","ATL",6
"172","CRW","ATL",1430
"173","CSG","ATL",1481
"174","CVG","ATL",2758
"175","DAB","ATL",2412
"176","DAY","ATL",4369
"177","DCA","ATL",7296
"178","DEN","ATL",5903
"179","DFW","ATL",9849
"180","DHN","ATL",1397
"181","DSM","ATL",1115
"182","DTW","ATL",5612
"183","EGE","ATL",109
"184","ELP","ATL",575
"185","EVV","ATL",1151
"186","EWN","ATL",791
"187","EWR","ATL",8060
"188","EYW","ATL",974
"189","FAY","ATL",2172
"190","FCA","ATL",25
"191","FLL","ATL",7666
"192","FLO","ATL",615
"193","FNT","ATL",3133
"194","FSD","ATL",135
"195","FSM","ATL",633
"196","FWA","ATL",1029
"197","GNV","ATL",2064
"198","GPT","ATL",3441
"199","GRB","ATL",93
"200","GRK","ATL",643
"201","GRR","ATL",1351
"202","GSO","ATL",2848
"203","GSP","ATL",2450
"204","GTR","ATL",964
"205","GUC","ATL",2
"206","HDN","ATL",107
"207","HHH","ATL",836
"208","HNL","ATL",637
"209","HOU","ATL",3595
"210","HPN","ATL",2158
"211","HSV","ATL",2622
"212","IAD","ATL",5362
"213","IAH","ATL",4989
"214","ICT","ATL",3146
"215","ILM","ATL",1991
"216","IND","ATL",3515
"217","ISP","ATL",215
"218","JAC","ATL",118
"219","JAN","ATL",2704
"220","JAX","ATL",5656
"221","JFK","ATL",2279
"222","LAS","ATL",4761
"223","LAW","ATL",543
"224","LAX","ATL",5402
"225","LEX","ATL",2217
"226","LFT","ATL",995
"227","LGA","ATL",10507
"228","LIT","ATL",2526
"229","LWB","ATL",185
"230","LYH","ATL",625
"231","MCI","ATL",4140
"232","MCN","ATL",652
"233","MCO","ATL",9611
"234","MDT","ATL",1789
"235","MDW","ATL",3257
"236","MEI","ATL",674
"237","MEM","ATL",4870
"238","MFE","ATL",10
"239","MGM","ATL",2514
"240","MHT","ATL",696
"241","MIA","ATL",6623
"242","MKE","ATL",3606
"243","MLB","ATL",2000
"244","MLI","ATL",2592
"245","MLU","ATL",983
"246","MOB","ATL",2225
"247","MSN","ATL",384
"248","MSP","ATL",5369
"249","MSY","ATL",4695
"250","MTJ","ATL",37
"251","MYR","ATL",1854
"252","OAJ","ATL",1178
"253","OAK","ATL",88
"254","OKC","ATL",1884
"255","OMA","ATL",1731
"256","ONT","ATL",797
"257","ORD","ATL",7449
"258","ORF","ATL",2784
"259","PBI","ATL",4262
"260","PDX","ATL",1102
"261","PFN","ATL",2548
"262","PHF","ATL",4157
"263","PHL","ATL",6918
"264","PHX","ATL",4607
"265","PIA","ATL",623
"266","PIT","ATL",4557
"267","PNS","ATL",4430
"268","PVD","ATL",1390
"269","PWM","ATL",904
"270","RDU","ATL",5418
"271","RIC","ATL",4536
"272","RNO","ATL",169
"273","ROA","ATL",1731
"274","ROC","ATL",2488
"275","RSW","ATL",4196
"276","SAN","ATL",2855
"277","SAT","ATL",3241
"278","SAV","ATL",3888
"279","SBN","ATL",1039
"280","SCE","ATL",122
"281","SDF","ATL",2756
"282","SEA","ATL",2571
"283","SFO","ATL",3098
"284","SGF","ATL",1170
"285","SHV","ATL",1817
"286","SJC","ATL",634
"287","SJU","ATL",1872
"288","SLC","ATL",2866
"289","SMF","ATL",682
"290","SNA","ATL",1463
"291","SRQ","ATL",3327
"292","STL","ATL",3956
"293","STT","ATL",451
"294","STX","ATL",64
"295","SWF","ATL",1617
"296","SYR","ATL",1419
"297","TLH","ATL",2484
"298","TOL","ATL",120
"299","TPA","ATL",7313
"300","TRI","ATL",1808
"301","TUL","ATL",1980
"302","TUP","ATL",10
"303","TUS","ATL",667
"304","TYS","ATL",2431
"305","VLD","ATL",938
"306","VPS","ATL",3045
"307","XNA","ATL",1768
"308","ATL","ATW",742
"309","BOI","ATW",1
"310","CLT","ATW",1
"311","CVG","ATW",697
"312","DTW","ATW",1021
"313","MKE","ATW",1030
"314","MSN","ATW",1
"315","MSP","ATW",89
"316","OMA","ATW",1
"317","ORD","ATW",2288
"318","PHL","ATW",1
"319","ABQ","AUS",433
"320","ATL","AUS",2255
"321","BHM","AUS",1
"322","BNA","AUS",795
"323","BOS","AUS",368
"324","BWI","AUS",728
"325","CLE","AUS",380
"326","CLT","AUS",660
"327","CVG","AUS",653
"328","DAL","AUS",5583
"329","DEN","AUS",2719
"330","DFW","AUS",5508
"331","ELP","AUS",1344
"332","EWR","AUS",939
"333","FLL","AUS",481
"334","HOU","AUS",2310
"335","HRL","AUS",366
"336","IAD","AUS",631
"337","IAH","AUS",3704
"338","IND","AUS",218
"339","JAX","AUS",229
"340","JFK","AUS",1356
"341","LAS","AUS",1232
"342","LAX","AUS",1732
"343","LBB","AUS",690
"344","LGB","AUS",245
"345","MAF","AUS",471
"346","MCI","AUS",459
"347","MCO","AUS",632
"348","MDW","AUS",713
"349","MEM","AUS",835
"350","MSP","AUS",54
"351","MSY","AUS",443
"352","OAK","AUS",236
"353","OKC","AUS",87
"354","ONT","AUS",304
"355","ORD","AUS",2515
"356","PHL","AUS",290
"357","PHX","AUS",2786
"358","RDU","AUS",231
"359","SAN","AUS",715
"360","SAT","AUS",2
"361","SEA","AUS",147
"362","SFO","AUS",609
"363","SJC","AUS",968
"364","SLC","AUS",550
"365","SNA","AUS",246
"366","STL","AUS",95
"367","TPA","AUS",367
"368","TUL","AUS",90
"369","TUS","AUS",229
"370","TYS","AUS",3
"371","ATL","AVL",1936
"372","CVG","AVL",167
"373","DTW","AVL",768
"374","EWR","AVL",658
"375","IAH","AVL",458
"376","MCO","AVL",47
"377","MSP","AVL",364
"378","ATL","AVP",584
"379","CVG","AVP",357
"380","DTW","AVP",722
"381","MDT","AVP",1
"382","MKE","AVP",1
"383","ORD","AVP",718
"384","PHL","AVP",1
"385","CVG","AZO",149
"386","DTW","AZO",1176
"387","MSP","AZO",246
"388","ORD","AZO",2350
"389","ATL","BDL",2140
"390","BNA","BDL",365
"391","BWI","BDL",2863
"392","CLE","BDL",516
"393","CLT","BDL",1834
"394","CVG","BDL",1157
"395","DCA","BDL",1183
"396","DEN","BDL",213
"397","DFW","BDL",1065
"398","DTW","BDL",1565
"399","EWR","BDL",793
"400","FLL","BDL",545
"401","IAD","BDL",1192
"402","IAH","BDL",120
"403","IND","BDL",587
"404","JFK","BDL",631
"405","LAS","BDL",366
"406","LAX","BDL",132
"407","MCO","BDL",1758
"408","MDW","BDL",1052
"409","MEM","BDL",49
"410","MIA","BDL",366
"411","MKE","BDL",539
"412","MSP","BDL",933
"413","ORD","BDL",3335
"414","ORF","BDL",1
"415","PBI","BDL",373
"416","PHL","BDL",521
"417","PHX","BDL",334
"418","PVD","BDL",1
"419","RDU","BDL",1149
"420","RSW","BDL",134
"421","SJU","BDL",366
"422","SWF","BDL",1
"423","TPA","BDL",1266
"424","ANC","BET",1035
"425","DEN","BFL",533
"426","IYK","BFL",1
"427","LAS","BFL",102
"428","LAX","BFL",902
"429","MOD","BFL",1
"430","PHX","BFL",1194
"431","SAN","BFL",224
"432","SFO","BFL",941
"433","SJC","BFL",1
"434","SLC","BFL",371
"435","SMF","BFL",229
"436","DTW","BGM",728
"437","ATL","BGR",270
"438","BOS","BGR",794
"439","CVG","BGR",127
"440","DTW","BGR",801
"441","EWR","BGR",536
"442","JFK","BGR",338
"443","MSP","BGR",11
"444","ABE","BHM",1
"445","ATL","BHM",2871
"446","BNA","BHM",688
"447","BWI","BHM",1037
"448","CLE","BHM",264
"449","CLT","BHM",787
"450","CVG","BHM",852
"451","DAL","BHM",1051
"452","DEN","BHM",651
"453","DFW","BHM",1287
"454","DTW","BHM",887
"455","EWR","BHM",681
"456","HOU","BHM",736
"457","HSV","BHM",4
"458","IAD","BHM",245
"459","IAH","BHM",2333
"460","JAX","BHM",366
"461","LAS","BHM",366
"462","LGA","BHM",591
"463","MCO","BHM",1214
"464","MDW","BHM",726
"465","MEM","BHM",891
"466","MKE","BHM",1
"467","MSY","BHM",1012
"468","OMA","BHM",1
"469","ORD","BHM",1511
"470","PHX","BHM",367
"471","RDU","BHM",160
"472","SDF","BHM",674
"473","SLC","BHM",5
"474","STL","BHM",366
"475","TPA","BHM",1052
"476","XNA","BHM",1
"477","DEN","BIL",1631
"478","MSP","BIL",820
"479","ORD","BIL",105
"480","SLC","BIL",1953
"481","DEN","BIS",1240
"482","MSP","BIS",1052
"483","MSP","BJI",74
"484","GEG","BLI",1
"485","SLC","BLI",120
"486","ATL","BMI",2509
"487","DFW","BMI",60
"488","LAS","BMI",51
"489","MCO","BMI",173
"490","OKC","BMI",1
"491","ORD","BMI",2005
"492","ATL","BNA",3096
"493","AUS","BNA",792
"494","BDL","BNA",366
"495","BHM","BNA",696
"496","BOS","BNA",2
"497","BWI","BNA",2492
"498","CLE","BNA",1128
"499","CLT","BNA",2126
"500","CMH","BNA",685
"501","CRW","BNA",1
"502","CVG","BNA",902
"503","DCA","BNA",1401
"504","DEN","BNA",2556
"505","DFW","BNA",2861
"506","DTW","BNA",2712
"507","EWR","BNA",1812
"508","FLL","BNA",740
"509","HOU","BNA",1500
"510","IAD","BNA",233
"511","IAH","BNA",2547
"512","JAX","BNA",1373
"513","JFK","BNA",463
"514","LAS","BNA",1201
"515","LAX","BNA",1418
"516","LGA","BNA",1217
"517","MCI","BNA",1317
"518","MCO","BNA",1782
"519","MDW","BNA",3016
"520","MEM","BNA",1024
"521","MIA","BNA",731
"522","MKE","BNA",771
"523","MSP","BNA",781
"524","MSY","BNA",1010
"525","OAK","BNA",363
"526","ONT","BNA",365
"527","ORD","BNA",3905
"528","ORF","BNA",236
"529","PHL","BNA",981
"530","PHX","BNA",1123
"531","PVD","BNA",366
"532","RDU","BNA",1617
"533","SAN","BNA",727
"534","SAT","BNA",676
"535","SEA","BNA",364
"536","SGF","BNA",2
"537","SLC","BNA",114
"538","STL","BNA",258
"539","TPA","BNA",1695
"540","ATL","BOI",41
"541","DEN","BOI",2069
"542","GEG","BOI",1016
"543","LAS","BOI",755
"544","LAX","BOI",985
"545","LWS","BOI",1
"546","MSP","BOI",807
"547","OAK","BOI",667
"548","ONT","BOI",471
"549","ORD","BOI",786
"550","ORF","BOI",1
"551","PDX","BOI",1038
"552","PHX","BOI",679
"553","RNO","BOI",1025
"554","SAN","BOI",475
"555","SEA","BOI",1070
"556","SFO","BOI",1766
"557","SLC","BOI",3370
"558","TWF","BOI",1
"559","ALB","BOS",1
"560","ATL","BOS",5990
"561","AUS","BOS",368
"562","BGR","BOS",793
"563","BNA","BOS",78
"564","BUF","BOS",728
"565","BWI","BOS",4795
"566","CAK","BOS",467
"567","CHS","BOS",156
"568","CLE","BOS",1354
"569","CLT","BOS",3551
"570","CMH","BOS",661
"571","CVG","BOS",1859
"572","DCA","BOS",8929
"573","DEN","BOS",2234
"574","DFW","BOS",3036
"575","DTW","BOS",2377
"576","EWR","BOS",3870
"577","FLL","BOS",2473
"578","GSO","BOS",132
"579","IAD","BOS",3846
"580","IAH","BOS",1822
"581","IND","BOS",950
"582","JAX","BOS",652
"583","JFK","BOS",7513
"584","LAS","BOS",1383
"585","LAX","BOS",2441
"586","LGA","BOS",12035
"587","LGB","BOS",789
"588","MCO","BOS",3478
"589","MDW","BOS",345
"590","MEM","BOS",199
"591","MHT","BOS",4
"592","MIA","BOS",2193
"593","MKE","BOS",208
"594","MSP","BOS",1563
"595","MSY","BOS",254
"596","MYR","BOS",45
"597","OAK","BOS",518
"598","ORD","BOS",7133
"599","ORF","BOS",197
"600","PBI","BOS",1746
"601","PDX","BOS",366
"602","PHF","BOS",716
"603","PHL","BOS",6384
"604","PHX","BOS",1067
"605","PIT","BOS",616
"606","PVD","BOS",3
"607","PWM","BOS",2
"608","RDU","BOS",3870
"609","RIC","BOS",688
"610","ROC","BOS",1
"611","RSW","BOS",1716
"612","SAN","BOS",610
"613","SAV","BOS",89
"614","SDF","BOS",81
"615","SEA","BOS",980
"616","SFO","BOS",2594
"617","SJC","BOS",256
"618","SJU","BOS",1273
"619","SLC","BOS",707
"620","SRQ","BOS",23
"621","STL","BOS",865
"622","STT","BOS",88
"623","SWF","BOS",1
"624","TPA","BOS",1782
"625","IAH","BPT",275
"626","ATL","BQK",924
"627","EWR","BQN",366
"628","JFK","BQN",661
"629","MCO","BQN",492
"630","IAH","BRO",1465
"631","FAI","BRW",364
"632","SCC","BRW",364
"633","BZN","BTM",1
"634","SLC","BTM",704
"635","ATL","BTR",2665
"636","CVG","BTR",2
"637","DCA","BTR",129
"638","DEN","BTR",1
"639","DFW","BTR",2919
"640","HOU","BTR",1
"641","IAH","BTR",2009
"642","MEM","BTR",998
"643","ORD","BTR",215
"644","ATL","BTV",500
"645","BGR","BTV",1
"646","BOS","BTV",1
"647","BWI","BTV",539
"648","CLE","BTV",613
"649","CVG","BTV",152
"650","DTW","BTV",826
"651","EWR","BTV",879
"652","IAD","BTV",129
"653","JFK","BTV",2207
"654","MCO","BTV",346
"655","MSP","BTV",75
"656","ORD","BTV",738
"657","ATL","BUF",3578
"658","BOS","BUF",729
"659","BWI","BUF",2437
"660","CLE","BUF",620
"661","CLT","BUF",1434
"662","CVG","BUF",160
"663","DCA","BUF",632
"664","DFW","BUF",93
"665","DTW","BUF",1508
"666","EWR","BUF",1481
"667","FLL","BUF",672
"668","IAD","BUF",16
"669","JFK","BUF",3674
"670","LAS","BUF",588
"671","MCO","BUF",1877
"672","MDW","BUF",1278
"673","MSP","BUF",229
"674","ORD","BUF",3437
"675","PHL","BUF",365
"676","PHX","BUF",365
"677","RSW","BUF",376
"678","TPA","BUF",728
"679","DEN","BUR",1238
"680","DFW","BUR",1375
"681","IAD","BUR",163
"682","JFK","BUR",1366
"683","LAS","BUR",5154
"684","OAK","BUR",5420
"685","PDX","BUR",60
"686","PHX","BUR",4754
"687","RNO","BUR",1
"688","SEA","BUR",1390
"689","SFO","BUR",1962
"690","SJC","BUR",3380
"691","SLC","BUR",1674
"692","SMF","BUR",3466
"693","ABQ","BWI",546
"694","ALB","BWI",2297
"695","ATL","BWI",5978
"696","AUS","BWI",730
"697","BDL","BWI",2880
"698","BHM","BWI",1038
"699","BNA","BWI",2502
"700","BOS","BWI",4797
"701","BTV","BWI",538
"702","BUF","BWI",2439
"703","CLE","BWI",2562
"704","CLT","BWI",3684
"705","CMH","BWI",1681
"706","CVG","BWI",1235
"707","DAB","BWI",32
"708","DAY","BWI",980
"709","DEN","BWI",2655
"710","DFW","BWI",2309
"711","DTW","BWI",3101
"712","EWR","BWI",508
"713","FLL","BWI",2704
"714","HOU","BWI",1262
"715","IAH","BWI",1728
"716","IND","BWI",1003
"717","ISP","BWI",2438
"718","JAN","BWI",666
"719","JAX","BWI",1066
"720","JFK","BWI",1123
"721","LAS","BWI",1628
"722","LAX","BWI",897
"723","LIT","BWI",366
"724","MCI","BWI",1025
"725","MCO","BWI",4926
"726","MDT","BWI",1
"727","MDW","BWI",2776
"728","MEM","BWI",783
"729","MHT","BWI",3628
"730","MIA","BWI",929
"731","MKE","BWI",1293
"732","MSP","BWI",1017
"733","MSY","BWI",391
"734","OKC","BWI",366
"735","ORD","BWI",3552
"736","ORF","BWI",1675
"737","PBI","BWI",1353
"738","PHL","BWI",660
"739","PHX","BWI",2103
"740","PIT","BWI",1043
"741","PVD","BWI",3981
"742","PWM","BWI",995
"743","RDU","BWI",2078
"744","ROA","BWI",1
"745","ROC","BWI",865
"746","RSW","BWI",1335
"747","SAN","BWI",729
"748","SAT","BWI",730
"749","SDF","BWI",1483
"750","SEA","BWI",242
"751","SFO","BWI",366
"752","SJU","BWI",318
"753","SLC","BWI",728
"754","SRQ","BWI",245
"755","STL","BWI",1676
"756","TPA","BWI",3402
"757","ATL","BZN",60
"758","DEN","BZN",1286
"759","DTW","BZN",19
"760","GTF","BZN",1
"761","LAX","BZN",13
"762","MSP","BZN",878
"763","ORD","BZN",336
"764","SFO","BZN",28
"765","SLC","BZN",2029
"766","ATL","CAE",2494
"767","CVG","CAE",942
"768","DFW","CAE",1157
"769","DTW","CAE",713
"770","EWR","CAE",684
"771","IAD","CAE",1709
"772","IAH","CAE",165
"773","LGA","CAE",609
"774","MEM","CAE",706
"775","ORD","CAE",1373
"776","ATL","CAK",3902
"777","BOS","CAK",467
"778","CVG","CAK",39
"779","DEN","CAK",780
"780","DTW","CAK",1044
"781","FLL","CAK",8
"782","LAS","CAK",43
"783","LGA","CAK",793
"784","MCO","CAK",371
"785","ORD","CAK",1047
"786","RSW","CAK",138
"787","SYR","CAK",1
"788","TPA","CAK",359
"789","XNA","CAK",1
"790","SGU","CDC",1
"791","SLC","CDC",666
"792","ANC","CDV",362
"793","YAK","CDV",363
"794","ACV","CEC",362
"795","SFO","CEC",705
"796","ATL","CHA",2082
"797","CVG","CHA",132
"798","DFW","CHA",426
"799","DTW","CHA",73
"800","IAH","CHA",458
"801","MEM","CHA",629
"802","ORD","CHA",767
"803","ATL","CHO",786
"804","CVG","CHO",35
"805","ATL","CHS",4492
"806","ATW","CHS",1
"807","BOS","CHS",156
"808","CLE","CHS",150
"809","CLT","CHS",1122
"810","CVG","CHS",786
"811","DFW","CHS",1154
"812","DTW","CHS",761
"813","EWR","CHS",1285
"814","IAD","CHS",710
"815","IAH","CHS",73
"816","JFK","CHS",1
"817","LGA","CHS",1414
"818","MEM","CHS",709
"819","MSP","CHS",27
"820","ORD","CHS",1337
"821","SAV","CHS",1
"822","SFO","CIC",1392
"823","ATL","CID",357
"824","BNA","CID",1
"825","CVG","CID",873
"826","DEN","CID",572
"827","DFW","CID",1897
"828","DTW","CID",948
"829","ICT","CID",1
"830","LGA","CID",156
"831","MSP","CID",412
"832","ORD","CID",4154
"833","LAX","CLD",2258
"834","PHX","CLD",43
"835","ABE","CLE",805
"836","ABQ","CLE",12
"837","ALB","CLE",1113
"838","ATL","CLE",2865
"839","AUS","CLE",380
"840","BDL","CLE",544
"841","BHM","CLE",264
"842","BNA","CLE",1147
"843","BOS","CLE",1362
"844","BTV","CLE",614
"845","BUF","CLE",633
"846","BWI","CLE",2543
"847","CHS","CLE",150
"848","CLT","CLE",1971
"849","CMH","CLE",24
"850","COS","CLE",1
"851","CVG","CLE",493
"852","DAB","CLE",12
"853","DAY","CLE",862
"854","DCA","CLE",935
"855","DEN","CLE",969
"856","DFW","CLE",1665
"857","DSM","CLE",139
"858","DTW","CLE",1182
"859","EWR","CLE",2103
"860","FLL","CLE",618
"861","GRR","CLE",1147
"862","GSO","CLE",148
"863","GSP","CLE",510
"864","IAD","CLE",1435
"865","IAH","CLE",2147
"866","IND","CLE",635
"867","JAX","CLE",144
"868","JFK","CLE",1392
"869","LAS","CLE",1667
"870","LAX","CLE",1053
"871","LEX","CLE",14
"872","LGA","CLE",2920
"873","MCI","CLE",1219
"874","MCO","CLE",1909
"875","MDT","CLE",58
"876","MDW","CLE",2556
"877","MEM","CLE",1205
"878","MHT","CLE",1212
"879","MIA","CLE",399
"880","MKE","CLE",2226
"881","MSN","CLE",317
"882","MSP","CLE",1876
"883","MSY","CLE",54
"884","OKC","CLE",21
"885","OMA","CLE",428
"886","ORD","CLE",4567
"887","ORF","CLE",2
"888","PBI","CLE",383
"889","PHL","CLE",674
"890","PHX","CLE",1115
"891","PVD","CLE",360
"892","PWM","CLE",306
"893","RDU","CLE",307
"894","RIC","CLE",905
"895","ROC","CLE",921
"896","RSW","CLE",594
"897","SAN","CLE",87
"898","SAT","CLE",233
"899","SAV","CLE",321
"900","SDF","CLE",728
"901","SEA","CLE",229
"902","SFO","CLE",466
"903","SJU","CLE",43
"904","SLC","CLE",348
"905","SRQ","CLE",118
"906","STL","CLE",916
"907","SYR","CLE",686
"908","TPA","CLE",874
"909","TYS","CLE",511
"910","DFW","CLL",1104
"911","IAH","CLL",261
"912","ABE","CLT",465
"913","AGS","CLT",16
"914","ALB","CLT",956
"915","ATL","CLT",6720
"916","AUS","CLT",659
"917","BDL","CLT",1834
"918","BHM","CLT",786
"919","BNA","CLT",2127
"920","BOS","CLT",3533
"921","BUF","CLT",1435
"922","BWI","CLT",3652
"923","CHS","CLT",1121
"924","CLE","CLT",1981
"925","CMH","CLT",125
"926","CVG","CLT",926
"927","DAB","CLT",23
"928","DCA","CLT",3001
"929","DEN","CLT",1925
"930","DFW","CLT",3797
"931","DTW","CLT",2703
"932","EGE","CLT",13
"933","EWR","CLT",5945
"934","FAY","CLT",95
"935","FLL","CLT",2947
"936","GSO","CLT",987
"937","GSP","CLT",1
"938","HSV","CLT",13
"939","IAD","CLT",2762
"940","IAH","CLT",3709
"941","ILM","CLT",1259
"942","IND","CLT",1587
"943","JAX","CLT",2520
"944","JFK","CLT",1833
"945","LAS","CLT",1730
"946","LAX","CLT",1460
"947","LGA","CLT",4958
"948","LIT","CLT",39
"949","MCI","CLT",1182
"950","MCO","CLT",3276
"951","MDT","CLT",1144
"952","MDW","CLT",13
"953","MEM","CLT",2576
"954","MHT","CLT",723
"955","MIA","CLT",2970
"956","MKE","CLT",245
"957","MSP","CLT",1814
"958","MSY","CLT",1504
"959","MYR","CLT",2216
"960","OAJ","CLT",6
"961","ORD","CLT",6013
"962","ORF","CLT",1836
"963","PBI","CLT",1871
"964","PDX","CLT",136
"965","PHL","CLT",3545
"966","PHX","CLT",2183
"967","PIT","CLT",2376
"968","PNS","CLT",372
"969","PVD","CLT",1439
"970","PWM","CLT",277
"971","RDU","CLT",2339
"972","RIC","CLT",1800
"973","ROA","CLT",1
"974","ROC","CLT",412
"975","RSW","CLT",1765
"976","SAN","CLT",704
"977","SAT","CLT",658
"978","SAV","CLT",1433
"979","SDF","CLT",795
"980","SEA","CLT",480
"981","SFO","CLT",1429
"982","SJU","CLT",795
"983","SLC","CLT",211
"984","SMF","CLT",76
"985","SRQ","CLT",207
"986","STL","CLT",1093
"987","STT","CLT",418
"988","STX","CLT",20
"989","SYR","CLT",746
"990","TLH","CLT",240
"991","TPA","CLT",2825
"992","TRI","CLT",16
"993","TUS","CLT",207
"994","ATL","CMH",1796
"995","BNA","CMH",677
"996","BOS","CMH",916
"997","BWI","CMH",1683
"998","CLE","CMH",17
"999","CLT","CMH",125
"1000","CVG","CMH",795
"1001","DCA","CMH",77
"1002","DEN","CMH",685
"1003","DFW","CMH",1694
"1004","DTW","CMH",1894
"1005","EWR","CMH",1653
"1006","IAH","CMH",839
"1007","JFK","CMH",571
"1008","LAS","CMH",1351
"1009","LAX","CMH",49
"1010","LGA","CMH",2350
"1011","MCI","CMH",164
"1012","MCO","CMH",1165
"1013","MDW","CMH",2644
"1014","MEM","CMH",1072
"1015","MIA","CMH",470
"1016","MKE","CMH",1054
"1017","MSP","CMH",1076
"1018","MSY","CMH",1
"1019","ORD","CMH",4664
"1020","PBI","CMH",5
"1021","PHL","CMH",994
"1022","PHX","CMH",1096
"1023","RDU","CMH",500
"1024","RSW","CMH",137
"1025","SLC","CMH",290
"1026","STL","CMH",674
"1027","TPA","CMH",973
"1028","DFW","CMI",366
"1029","ORD","CMI",2404
"1030","MSP","CMX",318
"1031","DEN","COD",481
"1032","SLC","COD",706
"1033","ATL","COS",589
"1034","BNA","COS",1
"1035","CVG","COS",104
"1036","DEN","COS",4188
"1037","DFW","COS",2034
"1038","IAH","COS",1725
"1039","ICT","COS",1
